,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,param_weights,params
0,0.6376001408574699,0.6514492913108549,0.6791587672501214,0.6560630162375992,0.017276025006132695,1,0.030174414316813152,0.00026204102421886977,19.03019682566325,0.004442099441752613,177,3,distance,"{'n_neighbors': 177, 'p': 3, 'weights': 'distance'}"
1,0.6445247160841623,0.6534988775420372,0.6814211234072572,0.6598089321589553,0.015709107570085243,1,0.02871990203857422,0.0033071799531168306,19.68561363220215,0.017067479734623633,968,3,distance,"{'n_neighbors': 968, 'p': 3, 'weights': 'distance'}"
2,0.6554686812219387,0.6677056739149573,0.6834354746263392,0.6688659162896974,0.011446057841895233,1,0.029587189356486004,0.0024874606677755687,21.81966543197632,0.029387599271777518,325,3,uniform,"{'n_neighbors': 325, 'p': 3, 'weights': 'uniform'}"
3,0.6502539286028699,0.658105632097896,0.694744499801596,0.6676938768222412,0.019386656336593453,1,0.028098662694295246,0.0006136482439516373,19.684160947799683,0.05645922148635875,683,3,uniform,"{'n_neighbors': 683, 'p': 3, 'weights': 'uniform'}"
4,0.6877751122457963,0.6971261774804121,0.7182829240333319,0.7010566433148943,0.012760372692961555,1,0.02657326062520345,0.0004790141293965495,1.3464146455128987,0.010043903227601274,276,2,distance,"{'n_neighbors': 276, 'p': 2, 'weights': 'distance'}"
5,0.6234827559644336,0.6212722290694604,0.6503240597857238,0.6316878639736447,0.013203201716607476,1,0.026691436767578125,0.004698193497206379,18.516711473464966,0.054964020332710715,200,4,uniform,"{'n_neighbors': 200, 'p': 4, 'weights': 'uniform'}"
6,0.7027329650497403,0.7173593075974998,0.721271383536881,0.7137858164154032,0.007978625613015239,1,0.028612454732259113,0.002509142381348558,1.4137019316355388,0.0018903142536126046,728,2,uniform,"{'n_neighbors': 728, 'p': 2, 'weights': 'uniform'}"
7,0.6384708711154151,0.6401394268861695,0.625462942551034,0.6346936315078537,0.006559849460390637,1,0.02628159523010254,0.004710840167177285,18.71161405245463,0.008178296725543354,58,3,uniform,"{'n_neighbors': 58, 'p': 3, 'weights': 'uniform'}"
8,0.637292015142178,0.6562142354080465,0.6798917596225915,0.6577932287831887,0.01742588982827505,1,0.023699442545572918,0.0023684281031201865,18.82216962178548,0.01335526705913219,206,3,distance,"{'n_neighbors': 206, 'p': 3, 'weights': 'distance'}"
9,0.7016242626991812,0.7195973457170525,0.7252435959613774,0.7154857044189764,0.0100708614964657,1,0.025597333908081055,0.0004698530772812187,1.474265178044637,0.0016964795732736363,992,2,distance,"{'n_neighbors': 992, 'p': 2, 'weights': 'distance'}"
10,0.7764190289638172,0.7888857403820758,0.7675752832767515,0.7776294631406226,0.008741376719949016,1,0.024227698644002277,0.0014743765906268156,1.2868161996205647,0.0020238998627450265,1000,1,uniform,"{'n_neighbors': 1000, 'p': 1, 'weights': 'uniform'}"
11,0.7769554978431199,0.7903176996214456,0.769473898858075,0.7789183091695455,0.008621355033086999,1,0.0261536439259847,0.0016374732694009507,1.2925899823506672,0.0021823652535278497,1000,1,distance,"{'n_neighbors': 1000, 'p': 1, 'weights': 'distance'}"
12,0.5462147306100888,0.565603266132582,0.5592318460385345,0.5570160018103664,0.008069871156868712,1,0.025991201400756836,0.0006873728787124909,1.0682282447814941,0.0025215623308765247,3,1,uniform,"{'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}"
13,0.7695247160841623,0.7832225548023595,0.770135245359552,0.7742953219097057,0.00631873300350367,1,0.028181155522664387,0.0010920029241428485,1.262664556503296,0.0023371919356367375,822,1,distance,"{'n_neighbors': 822, 'p': 1, 'weights': 'distance'}"
14,0.7617225327933796,0.7798056607095696,0.7708737489528681,0.7708006272747479,0.007383607390162849,1,0.024645407994588215,0.0028744676536056886,1.2225515047709148,0.0060468980276456785,574,1,distance,"{'n_neighbors': 574, 'p': 1, 'weights': 'distance'}"
